order_id,device_id,order_creation_time,preceding_event,following_event,previous_status,status_time,count_total_events_before_3min,count_status_code_0_before_3min,count_status_code_200_before_3min,count_status_code_401_before_3min,count_error_econnaborted_before_3min,count_error_generic_error_before_3min,count_no_error_code_before_3min,count_total_events_after_3min,count_status_code_0_after_3min,count_status_code_200_after_3min,count_status_code_401_after_3min,count_error_econnaborted_after_3min,count_error_generic_error_after_3min,count_no_error_code_after_3min,count_total_events_before_60min,count_status_code_0_before_60min,count_status_code_200_before_60min,count_status_code_401_before_60min,count_error_econnaborted_before_60min,count_error_generic_error_before_60min,count_no_error_code_before_60min
102498834,b16ec522-f02a-4f7d-9ba1-80423b91bd37,2020-02-26 11:19:10,2020-02-26 11:19:04.980,2020-02-26 11:19:20.753,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,213,1,212,0,1,0,212
102499025,02829daf-1952-4e03-9f45-58dd49a4b4d7,2020-02-26 11:20:40,2020-02-26 11:20:26.206,2020-02-26 11:20:41.471,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,170,0,170,0,0,0,170
102499132,53d16c33-5980-4ad8-9032-f85d686d2855,2020-02-26 11:21:10,2020-02-26 11:20:58.107,2020-02-26 11:21:14.002,,,11,0,11,0,0,0,11,4,0,4,0,0,0,4,116,0,116,0,0,0,116
102499561,486e54ed-c4c2-43c6-a26e-9fd7b27b2a1f,2020-02-26 11:23:38,2020-02-26 11:23:27.684,2020-02-26 11:23:46.300,,,11,0,11,0,0,0,11,10,0,10,0,0,0,10,167,6,161,0,6,0,161
102499382,7f27431a-a418-425b-a8bd-5514d9c8e29d,2020-02-26 11:23:40,2020-02-26 11:22:37.177,2020-02-26 11:25:41.179,,,8,0,8,0,0,0,8,4,0,4,0,0,0,4,8,0,8,0,0,0,8
102499546,7995c021-8983-4f53-902f-2a089944c501,2020-02-26 11:23:42,2020-02-26 11:23:29.194,2020-02-26 11:23:44.458,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,230,0,230,0,0,0,230
102499654,b16ec522-f02a-4f7d-9ba1-80423b91bd37,2020-02-26 11:24:09,2020-02-26 11:23:13.942,2020-02-26 11:24:35.591,,,8,0,8,0,0,0,8,10,0,10,0,0,0,10,225,1,224,0,1,0,224
102499690,a383c3fa-200c-4dcc-a09f-13a86348a1ef,2020-02-26 11:24:45,2020-02-26 11:23:24.371,2020-02-26 11:27:09.275,,,1,0,1,0,0,0,1,3,0,3,0,0,0,3,33,0,33,0,0,0,33
102499712,7f27431a-a418-425b-a8bd-5514d9c8e29d,2020-02-26 11:24:49,2020-02-26 11:22:37.177,2020-02-26 11:25:41.179,,,3,0,3,0,0,0,3,6,0,6,0,0,0,6,8,0,8,0,0,0,8
102499775,7995c021-8983-4f53-902f-2a089944c501,2020-02-26 11:25:17,2020-02-26 11:25:01.800,2020-02-26 11:25:17.283,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,230,0,230,0,0,0,230
102499746,ef006deb-66e4-4a21-88bc-88c1f2a88ccd,2020-02-26 11:25:41,2020-02-26 11:25:38.930,2020-02-26 11:25:54.292,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,68,0,68,0,0,0,68
102499852,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 11:25:42,2020-02-26 11:25:29.424,2020-02-26 11:25:44.876,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,229,0,229,0,0,0,229
102499935,7f27431a-a418-425b-a8bd-5514d9c8e29d,2020-02-26 11:26:23,2020-02-26 11:26:12.155,2020-02-26 11:26:27.704,,,3,0,3,0,0,0,3,3,0,3,0,0,0,3,11,0,11,0,0,0,11
102499878,ccebfc7b-060c-4930-8261-eea2a1b36143,2020-02-26 11:26:26,2020-02-26 11:26:21.786,2020-02-26 11:26:37.078,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,22,0,22,0,0,0,22
102499966,4e3a2f5c-8364-468f-abaa-0eb6deb984ef,2020-02-26 11:26:32,2020-02-26 11:26:29.486,2020-02-26 11:27:50.006,,,8,1,7,0,1,0,7,10,0,10,0,0,0,10,206,4,202,0,4,0,202
102500070,6e8a6364-f63a-41d5-84d8-50dd9318a079,2020-02-26 11:26:58,2020-02-26 11:26:53.784,2020-02-26 11:27:11.180,,,11,0,11,0,0,0,11,6,0,6,0,0,0,6,211,1,210,0,1,0,210
102500116,82fb1d95-c894-4499-825e-8774d0247087,2020-02-26 11:27:23,2020-02-26 11:27:08.389,2020-02-26 11:27:23.808,ONLINE,2020-02-26 09:29:19.784,11,0,11,0,0,0,11,12,0,12,0,0,0,12,223,0,223,0,0,0,223
102500001,ec7a14b8-e5ad-4e31-9bc7-14782586c9bd,2020-02-26 11:27:39,2020-02-26 11:27:29.311,2020-02-26 11:27:45.344,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,165,0,165,0,0,0,165
